,Submission ID,Department,13
12,27-02-0bbf,Canadian Human Rights Commission,Availability of support from service team
12,27-02-0bbf,Canadian Human Rights Commission,Helpful drop-in sessions
13,14-02-b38c,Copyright Board Canada,Ease of logging in/accessing open portal
13,14-02-b38c,Copyright Board Canada,Easy to use open portal
13,14-02-b38c,Copyright Board Canada,Ease of uploading data
13,14-02-b38c,Copyright Board Canada,Easy to use service inventory data collection template
14,26-02-c60d,Correctional Service Canada,Helpful drop-in sessions
14,26-02-c60d,Correctional Service Canada,Availability of support from service team
14,26-02-c60d,Correctional Service Canada,Ease of logging in/accessing open portal
14,26-02-c60d,Correctional Service Canada,Easy to use open portal
15,14-02-b7da,Développement économique Canada pour les régions du Québec,Availability of support from service team
15,14-02-b7da,Développement économique Canada pour les régions du Québec,Ease of logging in/accessing open portal
15,14-02-b7da,Développement économique Canada pour les régions du Québec,Helpful drop-in sessions
16,13-02-2c99,Health Canada,Helpful drop-in sessions
17,20-02-4a01,Library and Archives Canada,Availability of support from service team
17,20-02-4a01,Library and Archives Canada,Ease of logging in/accessing open portal
17,20-02-4a01,Library and Archives Canada,Ease in requesting new service ID/service standard ID
18,28-02-2e59,Privy Council Office,Availability of support from service team
18,28-02-2e59,Privy Council Office,Ease of logging in/accessing open portal
18,28-02-2e59,Privy Council Office,Easy to use open portal
18,28-02-2e59,Privy Council Office,Ease of uploading data
19,14-02-e570,Public Safety Canada,Availability of support from service team
20,18-02-3995,Public Service Commission of Canada,-
21,13-02-34d0,Public Services and Procurement Canada,Availability of support from service team
21,13-02-34d0,Public Services and Procurement Canada,Ease of logging in/accessing open portal
21,13-02-34d0,Public Services and Procurement Canada,Easy to use open portal
21,13-02-34d0,Public Services and Procurement Canada,Ease of uploading data
21,13-02-34d0,Public Services and Procurement Canada,Ease in requesting new service ID/service standard ID
21,13-02-34d0,Public Services and Procurement Canada,Accurate and helpful data dictionary
21,13-02-34d0,Public Services and Procurement Canada,Helpful drop-in sessions
22,21-02-f905,Public Services and Procurement Canada,Clear instructions
22,21-02-f905,Public Services and Procurement Canada,Availability of support from service team
22,21-02-f905,Public Services and Procurement Canada,Ease of logging in/accessing open portal
22,21-02-f905,Public Services and Procurement Canada,Easy to use open portal
22,21-02-f905,Public Services and Procurement Canada,Ease of uploading data
22,21-02-f905,Public Services and Procurement Canada,Ease in requesting new service ID/service standard ID
22,21-02-f905,Public Services and Procurement Canada,Helpful drop-in sessions
22,21-02-f905,Public Services and Procurement Canada,Accurate and helpful data dictionary
22,21-02-f905,Public Services and Procurement Canada,Easy to use service inventory data collection template
23,27-02-1977,Social Sciences and Humanities Research Council,Accurate and helpful data dictionary
23,27-02-1977,Social Sciences and Humanities Research Council,Helpful drop-in sessions
